date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:30:34	59355/59355	---M--	200	added ('OK')	image/jpeg	etag:%22e7db-673ec38b-2fe067f8ae92c82e;;;%22	https://html.storebuild.shop/tecza-prv/tecza/assets/img/service/service2.jpg	D:/techHive/html.storebuild.shop/tecza-prv/tecza/assets/img/service/service2.jpg	(from https://html.storebuild.shop/tecza-prv/tecza/index-one-page.html)
10:30:34	58066/58066	---M--	200	added ('OK')	image/jpeg	etag:%22e2d2-673ec38b-3b79ed1116cc9a0;;;%22	https://html.storebuild.shop/tecza-prv/tecza/assets/img/service/service3.jpg	D:/techHive/html.storebuild.shop/tecza-prv/tecza/assets/img/service/service3.jpg	(from https://html.storebuild.shop/tecza-prv/tecza/index-one-page.html)
10:30:34	42803/42803	---M--	200	added ('OK')	image/jpeg	etag:%22a733-673ec38b-a8834c73c0a99dee;;;%22	https://html.storebuild.shop/tecza-prv/tecza/assets/img/service/service4.jpg	D:/techHive/html.storebuild.shop/tecza-prv/tecza/assets/img/service/service4.jpg	(from https://html.storebuild.shop/tecza-prv/tecza/index-one-page.html)
10:30:35	22993/22993	---M--	200	added ('OK')	image/png	etag:%2259d1-673ec38b-57bfe82fba26feb5;;;%22	https://html.storebuild.shop/tecza-prv/tecza/assets/img/cta/cta-bg-shape1.png	D:/techHive/html.storebuild.shop/tecza-prv/tecza/assets/img/cta/cta-bg-shape1.png	(from https://html.storebuild.shop/tecza-prv/tecza/index-one-page.html)
10:30:35	240758/240758	---M--	200	added ('OK')	image/jpeg	etag:%223ac76-673ec38b-5ca7bf79f690aaf3;;;%22	https://html.storebuild.shop/tecza-prv/tecza/assets/img/cta/cta-bg.jpg	D:/techHive/html.storebuild.shop/tecza-prv/tecza/assets/img/cta/cta-bg.jpg	(from https://html.storebuild.shop/tecza-prv/tecza/index-one-page.html)
10:30:35	4029/4029	---M--	200	added ('OK')	image/png	etag:%22fbd-673ec38b-710b0f0d1cc91296;;;%22	https://html.storebuild.shop/tecza-prv/tecza/assets/img/cta/cta-bg-shape2.png	D:/techHive/html.storebuild.shop/tecza-prv/tecza/assets/img/cta/cta-bg-shape2.png	(from https://html.storebuild.shop/tecza-prv/tecza/index-one-page.html)
10:30:36	26311/26311	---M--	200	added ('OK')	image/png	etag:%2266c7-673ec38b-e41525b329c9f72c;;;%22	https://html.storebuild.shop/tecza-prv/tecza/assets/img/benifit/benifit-shape1.png	D:/techHive/html.storebuild.shop/tecza-prv/tecza/assets/img/benifit/benifit-shape1.png	(from https://html.storebuild.shop/tecza-prv/tecza/index-one-page.html)
10:30:36	359866/359866	---M--	200	added ('OK')	image/png	etag:%2257dba-673ec38b-923a29eaafc5de47;;;%22	https://html.storebuild.shop/tecza-prv/tecza/assets/img/benifit/benifit-img.png	D:/techHive/html.storebuild.shop/tecza-prv/tecza/assets/img/benifit/benifit-img.png	(from https://html.storebuild.shop/tecza-prv/tecza/index-one-page.html)
10:30:36	18767/18767	---M--	200	added ('OK')	image/png	etag:%22494f-673ec38b-aaff5766f26877da;;;%22	https://html.storebuild.shop/tecza-prv/tecza/assets/img/benifit/benifit-shape2.png	D:/techHive/html.storebuild.shop/tecza-prv/tecza/assets/img/benifit/benifit-shape2.png	(from https://html.storebuild.shop/tecza-prv/tecza/index-one-page.html)
10:30:36	79900/79900	---M--	200	added ('OK')	image/png	etag:%221381c-673ec38b-d3256926950878cf;;;%22	https://html.storebuild.shop/tecza-prv/tecza/assets/img/service/service-two-bg-shape.png	D:/techHive/html.storebuild.shop/tecza-prv/tecza/assets/img/service/service-two-bg-shape.png	(from https://html.storebuild.shop/tecza-prv/tecza/index-one-page.html)
10:30:36	61681/61681	---M--	200	added ('OK')	image/jpeg	etag:%22f0f1-673ec38b-9454abe73bab8fdf;;;%22	https://html.storebuild.shop/tecza-prv/tecza/assets/img/service/service-two-center-bg.jpg	D:/techHive/html.storebuild.shop/tecza-prv/tecza/assets/img/service/service-two-center-bg.jpg	(from https://html.storebuild.shop/tecza-prv/tecza/index-one-page.html)
10:30:37	43848/43848	---M-Z	200	added ('OK')	text/html	etag:%22ab48-673ec38b-2019f0fa38229d52;gz%22	https://html.storebuild.shop/tecza-prv/tecza/team-details.html	D:/techHive/html.storebuild.shop/tecza-prv/tecza/team-details.html	(from https://html.storebuild.shop/tecza-prv/tecza/index-one-page.html)
10:30:37	60562/60562	---M--	200	added ('OK')	image/png	etag:%22ec92-673ec38b-f79b6a25e19a7d8f;;;%22	https://html.storebuild.shop/tecza-prv/tecza/assets/img/team/team1.png	D:/techHive/html.storebuild.shop/tecza-prv/tecza/assets/img/team/team1.png	(from https://html.storebuild.shop/tecza-prv/tecza/index-one-page.html)
10:30:37	48853/48853	---M--	200	added ('OK')	image/png	etag:%22bed5-673ec38b-2b94119bf758e25;;;%22	https://html.storebuild.shop/tecza-prv/tecza/assets/img/team/team2.png	D:/techHive/html.storebuild.shop/tecza-prv/tecza/assets/img/team/team2.png	(from https://html.storebuild.shop/tecza-prv/tecza/index-one-page.html)
10:30:37	47183/47183	---M--	200	added ('OK')	image/png	etag:%22b84f-673ec38b-8626f8954d27cf00;;;%22	https://html.storebuild.shop/tecza-prv/tecza/assets/img/team/team3.png	D:/techHive/html.storebuild.shop/tecza-prv/tecza/assets/img/team/team3.png	(from https://html.storebuild.shop/tecza-prv/tecza/index-one-page.html)
10:30:38	53831/53831	---M--	200	added ('OK')	image/png	etag:%22d247-673ec38b-3b77f365edb1987d;;;%22	https://html.storebuild.shop/tecza-prv/tecza/assets/img/team/team4.png	D:/techHive/html.storebuild.shop/tecza-prv/tecza/assets/img/team/team4.png	(from https://html.storebuild.shop/tecza-prv/tecza/index-one-page.html)
10:30:38	3196/3196	---M--	200	added ('OK')	image/png	etag:%22c7c-673ec38b-595b0eea7f321b28;;;%22	https://html.storebuild.shop/tecza-prv/tecza/assets/img/contact/contact-shape1.png	D:/techHive/html.storebuild.shop/tecza-prv/tecza/assets/img/contact/contact-shape1.png	(from https://html.storebuild.shop/tecza-prv/tecza/index-one-page.html)
10:30:38	597/597	---M--	200	added ('OK')	image/png	etag:%22255-673ec38b-da7c5d88bb92d173;;;%22	https://html.storebuild.shop/tecza-prv/tecza/assets/img/contact/contact-shape2.png	D:/techHive/html.storebuild.shop/tecza-prv/tecza/assets/img/contact/contact-shape2.png	(from https://html.storebuild.shop/tecza-prv/tecza/index-one-page.html)
10:30:38	19900/19900	---M--	200	added ('OK')	image/jpeg	etag:%224dbc-673ec38b-60d31eff3049403e;;;%22	https://html.storebuild.shop/tecza-prv/tecza/assets/img/contact/contact-img-left.jpg	D:/techHive/html.storebuild.shop/tecza-prv/tecza/assets/img/contact/contact-img-left.jpg	(from https://html.storebuild.shop/tecza-prv/tecza/index-one-page.html)
10:30:39	17284/17284	---M--	200	added ('OK')	image/jpeg	etag:%224384-673ec38b-6a538ea4f03b62fe;;;%22	https://html.storebuild.shop/tecza-prv/tecza/assets/img/contact/contact-img-right.jpg	D:/techHive/html.storebuild.shop/tecza-prv/tecza/assets/img/contact/contact-img-right.jpg	(from https://html.storebuild.shop/tecza-prv/tecza/index-one-page.html)
10:30:39	48445/48445	---M-Z	200	added ('OK')	text/html	etag:%22bd3d-673ec38b-77af0e1c2c1b5709;gz%22	https://html.storebuild.shop/tecza-prv/tecza/blog-details.html	D:/techHive/html.storebuild.shop/tecza-prv/tecza/blog-details.html	(from https://html.storebuild.shop/tecza-prv/tecza/index-one-page.html)
10:30:39	15441/15441	---M--	200	added ('OK')	image/jpeg	etag:%223c51-673ec38b-e3f0438fd44cf483;;;%22	https://html.storebuild.shop/tecza-prv/tecza/assets/img/blog/blog1.jpg	D:/techHive/html.storebuild.shop/tecza-prv/tecza/assets/img/blog/blog1.jpg	(from https://html.storebuild.shop/tecza-prv/tecza/index-one-page.html)
10:30:39	17040/17040	---M--	200	added ('OK')	image/jpeg	etag:%224290-673ec38b-53573800320b8457;;;%22	https://html.storebuild.shop/tecza-prv/tecza/assets/img/blog/blog2.jpg	D:/techHive/html.storebuild.shop/tecza-prv/tecza/assets/img/blog/blog2.jpg	(from https://html.storebuild.shop/tecza-prv/tecza/index-one-page.html)
10:30:40	18459/18459	---M--	200	added ('OK')	image/jpeg	etag:%22481b-673ec38b-63278a2b7d83ead1;;;%22	https://html.storebuild.shop/tecza-prv/tecza/assets/img/blog/blog3.jpg	D:/techHive/html.storebuild.shop/tecza-prv/tecza/assets/img/blog/blog3.jpg	(from https://html.storebuild.shop/tecza-prv/tecza/index-one-page.html)
10:30:40	2134/2134	---M--	200	added ('OK')	image/png	etag:%22856-673ec38b-e5bf22bb50c2ded4;;;%22	https://html.storebuild.shop/tecza-prv/tecza/assets/img/subscribe/subscribe-shape1.png	D:/techHive/html.storebuild.shop/tecza-prv/tecza/assets/img/subscribe/subscribe-shape1.png	(from https://html.storebuild.shop/tecza-prv/tecza/index-one-page.html)
10:30:40	4115/4115	---M--	200	added ('OK')	image/png	etag:%221013-673ec38b-c03180b6d35ed192;;;%22	https://html.storebuild.shop/tecza-prv/tecza/assets/img/subscribe/subscribe-shape2.png	D:/techHive/html.storebuild.shop/tecza-prv/tecza/assets/img/subscribe/subscribe-shape2.png	(from https://html.storebuild.shop/tecza-prv/tecza/index-one-page.html)
